Relative_dose_[%],Dose_[cGy],Ratio_of_Total_Structure_Volume_[%]
0.0,0.0,100.0
0.1,5.0,100.0
0.2,10.0,100.0
0.3,15.0,100.0
0.4,20.0,100.0
0.5,25.0,100.0
0.6,30.0,100.0
0.7,35.0,100.0
0.8,40.0,100.0
0.9,45.0,100.0
1.0,50.0,100.0
1.1,55.0,100.0
1.2,60.0,100.0
1.3,65.0,100.0
1.4,70.0,100.0
1.5,75.0,100.0
1.6,80.0,100.0
1.7,85.0,100.0
1.8,90.0,100.0
1.9,95.0,100.0
2.0,100.0,100.0
2.1,105.0,100.0
2.2,110.0,100.0
2.3,115.0,100.0
2.4,120.0,100.0
2.5,125.0,100.0
2.6,130.0,100.0
2.7,135.0,100.0
2.8,140.0,100.0
2.9,145.0,100.0
3.0,150.0,100.0
3.1,155.0,100.0
3.2,160.0,100.0
3.3,165.0,100.0
3.4,170.0,100.0
3.5,175.0,100.0
3.6,180.0,100.0
3.7,185.0,100.0
3.8,190.0,100.0
3.9,195.0,100.0
4.0,200.0,100.0
4.1,205.0,100.0
4.2,210.0,100.0
4.3,215.0,100.0
4.4,220.0,100.0
4.5,225.0,100.0
4.6,230.0,100.0
4.7,235.0,100.0
4.8,240.0,100.0
4.9,245.0,100.0
5.0,250.0,100.0
5.1,255.0,100.0
5.2,260.0,100.0
5.3,265.0,100.0
5.4,270.0,100.0
5.5,275.0,100.0
5.6,280.0,100.0
5.7,285.0,100.0
5.8,290.0,100.0
5.9,295.0,100.0
6.0,300.0,100.0
6.1,305.0,100.0
6.2,310.0,100.0
6.3,315.0,100.0
6.4,320.0,100.0
6.5,325.0,100.0
6.6,330.0,100.0
6.7,335.0,100.0
6.8,340.0,100.0
6.9,345.0,100.0
7.0,350.0,100.0
7.1,355.0,100.0
7.2,360.0,100.0
7.3,365.0,100.0
7.4,370.0,100.0
7.5,375.0,100.0
7.6,380.0,100.0
7.7,385.0,100.0
7.8,390.0,100.0
7.9,395.0,100.0
8.0,400.0,100.0
8.1,405.0,100.0
8.2,410.0,100.0
8.3,415.0,100.0
8.4,420.0,100.0
8.5,425.0,100.0
8.6,430.0,100.0
8.7,435.0,100.0
8.8,440.0,100.0
8.9,445.0,100.0
9.0,450.0,100.0
9.1,455.0,100.0
9.2,460.0,100.0
9.3,465.0,100.0
9.4,470.0,100.0
9.5,475.0,100.0
9.6,480.0,100.0
9.7,485.0,100.0
9.8,490.0,100.0
9.9,495.0,100.0
10.0,500.0,100.0
10.1,505.0,100.0
10.2,510.0,100.0
10.3,515.0,100.0
10.4,520.0,100.0
10.5,525.0,100.0
10.6,530.0,100.0
10.7,535.0,100.0
10.8,540.0,100.0
10.9,545.0,100.0
11.0,550.0,100.0
11.1,555.0,100.0
11.2,560.0,100.0
11.3,565.0,100.0
11.4,570.0,100.0
11.5,575.0,100.0
11.6,580.0,100.0
11.7,585.0,100.0
11.8,590.0,100.0
11.9,595.0,100.0
12.0,600.0,100.0
12.1,605.0,100.0
12.2,610.0,100.0
12.3,615.0,100.0
12.4,620.0,100.0
12.5,625.0,100.0
12.6,630.0,100.0
12.7,635.0,100.0
12.8,640.0,100.0
12.9,645.0,100.0
13.0,650.0,100.0
13.1,655.0,100.0
13.2,660.0,100.0
13.3,665.0,100.0
13.4,670.0,100.0
13.5,675.0,100.0
13.6,680.0,100.0
13.7,685.0,100.0
13.8,690.0,100.0
13.9,695.0,100.0
14.0,700.0,100.0
14.1,705.0,100.0
14.2,710.0,100.0
14.3,715.0,100.0
14.4,720.0,100.0
14.5,725.0,100.0
14.6,730.0,100.0
14.7,735.0,100.0
14.8,740.0,100.0
14.9,745.0,100.0
15.0,750.0,100.0
15.1,755.0,100.0
15.2,760.0,100.0
15.3,765.0,100.0
15.4,770.0,100.0
15.5,775.0,100.0
15.6,780.0,100.0
15.7,785.0,100.0
15.8,790.0,100.0
15.9,795.0,100.0
16.0,800.0,100.0
16.1,805.0,100.0
16.2,810.0,100.0
16.3,815.0,100.0
16.4,820.0,100.0
16.5,825.0,100.0
16.6,830.0,100.0
16.7,835.0,100.0
16.8,840.0,100.0
16.9,845.0,100.0
17.0,850.0,100.0
17.1,855.0,99.9989
17.2,860.0,99.9939
17.3,865.0,99.9833
17.4,870.0,99.9656
17.5,875.0,99.9359
17.6,880.0,99.9016
17.7,885.0,99.8621
17.8,890.0,99.8148
17.9,895.0,99.765
18.0,900.0,99.7131
18.1,905.0,99.6579
18.2,910.0,99.5946
18.3,915.0,99.5258
18.4,920.0,99.4622
18.5,925.0,99.3967
18.6,930.0,99.3228
18.7,935.0,99.2522
18.8,940.0,99.1814
18.9,945.0,99.1094
19.0,950.0,99.0333
19.1,955.0,98.9629
19.2,960.0,98.8857
19.3,965.0,98.8104
19.4,970.0,98.7293
19.5,975.0,98.6481
19.6,980.0,98.57
19.7,985.0,98.4966
19.8,990.0,98.4039
19.9,995.0,98.3171
20.0,1000.0,98.2388
20.1,1005.0,98.1614
20.2,1010.0,98.0705
20.3,1015.0,97.9821
20.4,1020.0,97.8956
20.5,1025.0,97.8096
20.6,1030.0,97.7121
20.7,1035.0,97.6179
20.8,1040.0,97.5293
20.9,1045.0,97.4303
21.0,1050.0,97.3291
21.1,1055.0,97.2287
21.2,1060.0,97.1194
21.3,1065.0,97.0139
21.4,1070.0,96.9135
21.5,1075.0,96.7988
21.6,1080.0,96.6916
21.7,1085.0,96.5748
21.8,1090.0,96.4534
21.9,1095.0,96.3418
22.0,1100.0,96.2282
22.1,1105.0,96.11
22.2,1110.0,95.9919
22.3,1115.0,95.8667
22.4,1120.0,95.7438
22.5,1125.0,95.6241
22.6,1130.0,95.4995
22.7,1135.0,95.3712
22.8,1140.0,95.2414
22.9,1145.0,95.1154
23.0,1150.0,94.9917
23.1,1155.0,94.8578
23.2,1160.0,94.7306
23.3,1165.0,94.5987
23.4,1170.0,94.4798
23.5,1175.0,94.3424
23.6,1180.0,94.2064
23.7,1185.0,94.064
